principal,Preço,Loja,qtd_vendida,link,concorrente
Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto,1649.01,Eshop,Novo  |  +10mil vendidos,https://www.mercadolivre.com.br/smart-tv-de-43-lg-tu801c-43tu801c0sa-com-tela-led-4k-preto/p/MLB50879873#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=3453e680-93e5-4678-93ce-489fe3e0a42b&wid=MLB5416368530&sid=search,Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto
Smart Tv LG 43'' 4k Ultra Hd Pro Led Hdr Thinq Ai Alexa,1699,Eshop,Novo  |  +500 vendidos,https://produto.mercadolivre.com.br/MLB-4078357729-smart-tv-lg-43-4k-ultra-hd-pro-led-hdr-thinq-ai-alexa-_JM#polycard_client=search-nordic&search_layout=grid&position=2&type=item&tracking_id=3453e680-93e5-4678-93ce-489fe3e0a42b&wid=MLB4078357729&sid=search,Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto
Smart Tv Lg 43 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa,1799.9,INPOWER,Novo,https://www.mercadolivre.com.br/smart-tv-lg-43-4k-uhd-hdr-thinq-ai-pro-wifi-bluetooth-alexa/up/MLBU3281383682#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=3453e680-93e5-4678-93ce-489fe3e0a42b&wid=MLB5481965722&sid=search,Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto
Smart Tv De 43 Lg Tu801c 43tu801c0sa Com Tela Led 4k - Preto,2599,,Novo  |  +50 vendidos,https://www.mercadolivre.com.br/smart-tv-de-43-lg-tu801c-43tu801c0sa-com-tela-led-4k--preto/up/MLBU3378857186#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=3453e680-93e5-4678-93ce-489fe3e0a42b&wid=MLB5618573240&sid=search,Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto
"Smart Tv Lg 43 4k Tu801c0sa  Hdr, Alexa E Ai Sound Pro",2549,,Novo,https://www.mercadolivre.com.br/smart-tv-lg-43-4k-tu801c0sa--hdr-alexa-e-ai-sound-pro/up/MLBU3428428958#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=3453e680-93e5-4678-93ce-489fe3e0a42b&wid=MLB5709837770&sid=search,Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto
Smart Tv De 43 Lg Tu801c 43tu801c0sa Com Tela Led 4k - Preto,1899,,Novo,https://www.mercadolivre.com.br/smart-tv-de-43-lg-tu801c-43tu801c0sa-com-tela-led-4k--preto/up/MLBU3324209892#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=3453e680-93e5-4678-93ce-489fe3e0a42b&wid=MLB5519805562&sid=search,Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto
"Smart TV LG 50"" 4K UHD LED Alexa, ThinQ AI, HDR10, WebOS 24 Controle Smart Magic- 50UT8050",2150.91,INPOWER,Novo  |  +10mil vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=u%2BHBt72kPj6qEJA94geamsyUk%2BLDL3dTfirT5n%2Fgf9QO9eoU2m%2FzGV%2FcwdngcQHaCTqDaJ9XjofgMVTQEXUySGEXIaWStk2LDOS3OviGU3Raoj5p9oDgBNtEX2X1rSfktEdcXUpHWFNH6ad%2F%2Fmg5x3yDU6ihjs3ENLEgJathacwf2XNjE%2BCnyC1YWDISwaGuE%2F1LKSYJbHPlFw7XOGb2Eruj2YLSdiri0jxUHJv1G%2BiGLa%2By7AftRFKdcNeHMX4Qo40z2UXMZvRGdKZ9sm7TWLTCFCAVZ2pMemX8aUeYlKGn%2FXY4eNHobWkTvf9Mbmp0kgCGcY2P2ggfM8RUAp28w1kC%2F%2FdEeNRrBTsYhcBtoD6e1c5nqdZrDQBJNK%2BtfFNId4HjlysAAuH9xyDf81%2Bx9aS0KzWv3%2B%2Bc4Ujcmv%2BH1aAJ8kxOwVfGHoG6TAuueGG3cYAhFLXjBiexLUIRsdO3SrouNmFvC7%2F1dphY705UIJIyNM3k9OuYi%2F2UZ6P6AIEXzQUy0OyW5tGBw0LB4%2F8HERrs6ysiCX4eD7gKTP0RILk2bS04d%2F2IEKdhpCe4L2pac0yOdeITKd43hiI8fs8dP2nYN1rm0iEmgKLShOVghchf7bnxd0jOaDZaVp4prnPHhLmw6%2FZhLPGg8iNt%2B1qpmptjQceHk5zlA1KXsvrkY3yHSplsR51zIXQ7rXGGXraDAMQ0SL%2ByJ7WP4S0sxIaGEarGBxyvQBYWOMM7aEDpI1XVkuxWTutfyJzFRzy7gg7iGO2ZP4yiRmNLnyteKu%2Fc76MSJdFl08rhD87OaSPosqIm3ehkucTeD3BxCvo%2BsOVEGQbx8vUdLNDkfb1lxcBs1J6RUcSx69AqRyYWGmY3Zfcj%2B%2B%2B7fZdJtK5He%2BWTIl5PWqPfLTqzhEy8T3veB%2Byu73PSEO%2B745DWmBjwc5W22Pa%2Fwoo%2FUjkdN81%2Bj8%2BT7GSe112cyYZ7h0TTt9sleMilu3NKzMfB227WAJie6wuknjFCqjG%2B63Qv5wZLSZSDYsOZWvMvfLqmt2yPejU%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB39457123&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=7&type=pad&tracking_id=3453e680-93e5-4678-93ce-489fe3e0a42b&wid=MLB3969669499&sid=search,Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto
Smart Tv 50'' Samsung Lh50bedhvggxzd Led Crystal Uhd 4k Hdr,2159.1,2Eletro,Novo  |  +5mil vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=43Egau1AgtKhhBHyez77hWfvyqXUE6MulmdlFQOP8P7iI2J1B1evsA5nZSqIeb%2B35thGCHlzViaqSQVQ0UjvZOAkiEoVMW1TZV142UDE%2FPJDJcMAYoJ1fh96is24pfPdbgj37BMg56CV6m0mU9SZ9Ll9Qnj4oVvqjzODAY4oeL6tIW7rg4N5u1XZXiMlVZQV9zDtbFEghoBQMsRRWBM35sP8ZzYN4fnIJCVk%2FxruMoa73FlMf8%2B4lL%2F6%2BWacwhxRpSrM%2Fm4F4fjUOLbrOHG1gxa%2FCi789kVvxjDm75ur%2Fb1jmFTZVH8HMvD%2BNf41JWEQs94IBU3SDWMwMTw5pOy6xnFx%2FkXevBcQn0vfH5gXbOyEj4vA2EZzq%2BtLjAVteDsX%2BkLTevHWjtxcSr2o0P9kPWpC9%2Faka0yZuoXn6mVwJns63pfenWoWh1%2FsWJY9ok%2FHlviA97bVIBMa6mh9yO5s4Zq5nDkYgmvxnjOyQrgHP3BCuZzyrO1qfyzhY68so1ZWSC78Pl58S6rzcgm%2BbAkNw8YSDGGNlieZQ4VRb2giWkJDVrUjhfkinCkS8ZUqoKHWYkykGBJW1hS8JgH019cod%2BEkLQ6Kqx5TU4V86ryzzsUa6vJZrND1GoObUCdTFj9vWnzNq8uec5DELJtQ7FZfuTjhb0eMimdyhT20mhyWL1w%2FGFJysmYjgRqU8WmT2dEPcq4BcKwtxcLQGwEryc4AhM7g0T9GMOiAooOxYcFmGmUp5Hd6408XtT3HqmPIW%2BsDsDZa8CEP41yGDzMD%2FuidFGRQ7pAHEbGv8QaMXVwo%2FthdJ4hX61aQGn8tJ04agBfLahiY%2FxRXp%2FeMlRZsLxYhLgk2vGjrE27PTISqx5vH2RLyEnKPNVYFBBsZ6vrcD75t9KdXpMvPrcBuxy2UG99PQrHp32hA5CezwyE940FEbhkzd4VDxJBMd46%2BrP6dbcZcqwx9YrFZhqbKw7wiCpTpOrToxeJZGlc7NX6CMtSfBg%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB39022974&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=8&type=pad&tracking_id=3453e680-93e5-4678-93ce-489fe3e0a42b&wid=MLB5034195374&sid=search,Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto
Smart TV TCL 65 Polegadas QLED 4K P8K WiFi Bluetooth Google TV 144Hz HDR10+ Dolby Atmos Vision 65P8K,3829,Mercado Livre,Novo  |  +5 vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mJ%2BX7AZgc8BKZ%2BlJAJD20h%2BOA0z9X7I%2FtUp7PIEFnFmNb0bjqnARAHXgJzR%2F8lPu1pcdsmuF94grx%2BxcLjQL8kzAcqtZSl8eq8B%2FrwS04N%2B4uKSxlKjphwdzVInLXlJFnu%2FuV98iOI6haqCaHokqKxoDr%2B4pHIE04U5RKxym%2FGNAbGZkmtrX59y0ExKs9jXYiRaMd%2BVKtKRKn%2BmUk8fPeKHOaGrHXmgALlKnCy6Sv5BOurjrgZ9ojbh%2F%2B%2FpjMj43149OPDs2QCavOqNblrT5QSQe6OWHOkjkLoi78s5xxasA9%2F%2BWf3Ed8CqpjSkl59p%2BoilY4L4m39WOP8KgcxcF7INcsqvJ3bli%2B%2B3ibIGSXTrtjORmySly2qUSy2P6vzP6KDvrq07064oIFLsJO7cyi6FnaV74mTfMziLlwoP6%2BZ1cY956NrxbJsNLwV6reopkZgUjWjyYAarJXPMAKx2lMxtOsaqutrCb3o15Zvu9tc%2Bn5FB2hb1%2FpPyZWXuETdOlfrrI2IeM7z9qyVkRr2lFwUlZ3QjkCDvH5BRZadzmlQ2DeoFH0v2%2BX3MriVrbLML5aJBe3ygp0aevbwDGv2hlauxnFMlxXz7cN84B6fGDloeebeUUqZcC1QikBh%2Bs82CDV5Qz%2BDVoDgDfeFPclfpQYvxZhGbW%2BeUBy7lNZdpuOPOtfwAJfSUeNhib3QReWI%2FKd4GceivNuUntiRmBl62mNRu9fhG4gisBS4TMDy0U%2Fl8buqbjeT%2Fr5rhgzFTCQN3JlexsBkqjZ0TRp8Ys5Hwzefh09hRm3Wo3ODd75ugqRTSHQcakfKIyqcNW19ktyAuTWlZSzBmskLznYRIrDMxbWHKKxYAzWXsrZioZwKXxCdySVnGnpcBUwWTXdLqLqGQhJorhXiR8KPitwSkUkhyhvmF6R%2BjrZ9ZzZV0Mqc%2F8ijqk83XDsD0LSK64ors3zJbrn2u%2FJvmNZkoYhzuIXzOBRlOLOxhDykYr2YNa4Hs%2BO0X%2BfQHk%2BbfDF05g1ux%2FXf6hSWalt71Ux88pbOQvkEAog4Lhy4z9UqTcNQ%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB55751488&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=9&type=pad&tracking_id=3453e680-93e5-4678-93ce-489fe3e0a42b&wid=MLB5689111682&sid=search,Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto
Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto,1782.3,NegociuN,Novo  |  +5 vendidos,https://produto.mercadolivre.com.br/MLB-4136538229-smart-tv-de-43-lg-tu801c-43tu801c0sa-com-tela-led-4k-preto-_JM#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=3453e680-93e5-4678-93ce-489fe3e0a42b&wid=MLB4136538229&sid=search,Smart Tv De 43 LG Tu801c 43tu801c0sa Com Tela Led 4k - Preto
