titulo,preco,loja,vendedor,qtd_vendida,link
Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos,896.91,,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-webos/p/MLB37929806#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB4020487085&sid=search
Smart Tv Lg Led 32  32lr600b Hdr Ai Thinq Led Hd 100v/240v,893.09,Vikings,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-led-32--32lr600b-hdr-ai-thinq-led-hd-100v240v/up/MLBU2095162866#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB3871815089&sid=search
Smart Tv Lg 32  Led Thinq Ai Hrd10 Webos 32lr600 2024,1007.25,2Eletro,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-32--led-thinq-ai-hrd10-webos-32lr600-2024/up/MLBU771924572#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB3758156039&sid=search
Smart Tv Lg 32 Led Hd 32lr600b Thinq Ai Wifi Bluetooth,1069.99,Loi Brasil,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-32-led-hd-32lr600b-thinq-ai-wifi-bluetooth/up/MLBU875178937#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5044353728&sid=search
Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa Web,1019.32,,Não informado,Não informado,https://produto.mercadolivre.com.br/MLB-5736332782-smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-web-_JM#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5736332782&sid=search
Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa,944.37,,Não informado,Não informado,https://produto.mercadolivre.com.br/MLB-5742663146-smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-_JM#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5742663146&sid=search
Smart TV Weyon 32WDSNMX 32'' HD LED,794.3,,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=J5KwhZwsAeCZBo0ddsTMMX7jvFytjCvpnVT02%2FUJNl5W7mHFv4d2PLgg%2B8myQ1rHvSZQtxerifzoG89p5kNM0E%2BJYiPHq2JyXRkBWLccZPAKK87uymNFQnzmN85m5Bg0QoJjSzDMtNHfgv2Yf1NHrkzWV4ghcvMM1pHxp6fIq9aAYUadVQYsaj22CvbGe%2BVua0phh9LaxpIbPc5iRlDjXcBAUHCqcrZDhVs0G7d482pwSfASs0e%2Fqjh1pckbYt5drccvq%2FReMmIYST5aQUl5J0bY%2FOlytO6uTj8f0uW5pRxJwjL5Ek7vFqf2STDYq8UeDwsVywpjo5TeDIFmA0pdqkPRFleI9C9S1lupEbiGC17mNWkuUXc%2Bfpc7TopAShhgRRV2AnzNi7ChyNdvINcSUtnAwCvtSkhjQkeji2gClwA7lJ1%2FxIZhCZ8swAqmxE9INUGPapdXsYZCp%2FA8WjvD5Pdbd%2B49EoR8EuwV3CvFaEFug724bstcTxqYEGaMhkjrKUUo4VBg9n%2Bwel6Do%2FQjP8XJEAGHf8I055QicJws2vpZVpnlwKULdTFRu1KeDmrPVCR6n%2BkxOo9b7bPiEVsjbbdYFJpS6w1BdsnKOimMxY5VOynn3K4SkeoTd9RIqigbilDTc%2B%2BHhxovxwa1LryH2HaF%2Bc%2Bi%2FDGpwGlfR2%2FlT1rAU9bu4CzN3TKRtI0xSbRjYaKjF4MoFjQuOoXdlu%2BIVIC77VgsGNkxzZ14XUe7CCWuVdV00qp9Dscg9VhoVEADCUOLfFgwYxmYaqDoi%2BEUeb0vRorzPiqkR9frX6ewqgCSEsR4IDhksTWMvCfQ7%2Ft2IAh%2FIQbYz38%2F%2FIPjdfS4y88oiedosG70VEiik4nXE7Q4df9QOG%2BSWQ5oZGy6rjmqvr5bZiSYR21sxLVVjgl0qIznP3WWrGMK5eVT84vt3sqyodKFSxRa20nyR4ZZX1V%2FJ6z20qW%2FhM9l#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB23537280&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=7&type=pad&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5745750570&sid=search
Smart Tv 55pug7408/78 55'' 4k Uhd Led Google Tv Philips,2319,NegociuN,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Yf1SPjlx69G09kDJ2yIbsTF%2B84xsQBxfhULbrsqoxXT3KZG9Gpe2iwfZmQV3o%2F%2FeuYxye3hpmcFuzlhOFeFeecCuEMdb5BQkF4fXVh8pE2y6q3F9UyEYasOaio%2B3BLqY2K%2F5BHlFOev6O9G2Lv9yb0VH2nfWyFaM4JLweglen7tdKq%2B6U4Sjorm0vRBffYi9oMsZWlon98G9BsPc33pcMlvYpZRCYwm%2FeMyIvkGURe7KO8bBXSLaSAAu%2Fiw3lmRUcS126428xpw%2BcPYViNChGzDUUTdQa5TmYawMVWn3QkWcUjke7x1B6f%2B3TxcC32ynIjR9BOx5t02QJcLnug44gyo8cEVHlVktVx4V5qlutMdCkmS8ip%2Fjku3zx0hmsObwhBjUW9XoEhG%2B0rlZkAyteMa6etAYWievvhQiVZAamL4deoQcB4rAMr0YbiaKorYMTzr7Z06igi9cMIQU9ZJjlY60sc9oYQjSENkeyBYR%2Bwkz2UIokzAAB3OKUDJbmn99C2vDnU9CWeLgxSacMzNi9MnUUSi9ARsxnI7WBm9n18H3X%2BWQZb%2BOP8hm4DM0IW451pEucfKifNn9KjKxICFEi6j88aSuGspDDeRmbxnTSKjQv4Q9mLqeQPIDdyxVx4n%2FuLdDqq0BYVKa3mWg1w0tug%2BlQhNGiMjZsfKULp%2FzETOBoMmfeyBUYaeWg7k3xEqw7Tn8jSXDVIg0sRoxMjOtvuhMyTxfC6Uc7%2BeDRlzN167opO7HPipZYsIOIkiczYJG8X37dq3yhKpLj%2FhOQ3pjxWqT7MYVENUIau3uNKihw%2F6qAduNGYJ2zaFjOFGB%2BWKC2msSEeNfwTrMiIlGei4Z2ai%2FX0bpTXH8lVjxp%2FECE8W5u64pI6OquKMsEWSUiaPdtyyWxYxMUdTnevfk8yk7lr4O8CMzndFMPi9qRxiByPfnJ92HGhCNRUjVvFXF%2B4Hiu5RiLbf1NI%2BoO%2FYGeq6SfqLjjcE0jUHroKY%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB27166998&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=8&type=pad&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB4144620721&sid=search
Smart TV TCL 75 Polegadas QLED 4K P7K WiFi Bluetooth Google TV HDR10+ Dolby Atmos Dolby Vision 75P7K,4599,TCL,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=koq0C3OocVzEM6JHvFXuGHRtN2zSa8PR1zSAXHaaD5eDInb%2F5l0ToOg%2BfarDxmvV3ycZFqyqlGezTtZsql%2BT%2BWKXeIlrfCgGMyg4D3vmdHrnvZaACLTXhCjNPg%2BidKEJ4AkoOBY4Y42DaZzxm7mkQ11Oz%2B8PHjdEovDBf5yo%2B5WymrEr%2B2hkuaTEVvygE5AmHAoSo3kBtg6OWGJUVyC4pHJYZhAbLS6JvUk5gXBfJnwj%2FUfLVsuBytmU2YSz872I1hQBlE7MQQccCR%2B1d934MAe4%2F6nCpQJv1xsaG%2F7vUo4Pt31UE7eTN0QGXaHci2M978nBHuj%2Fv8EnI8L%2BufYzaehB4UquDhS%2BS69pi2DUAKbYUHSlMVAhEfFzmhijmpZvfX76hj7pELmxGucR8uZKHbjNGU0%2BcPvkVQFf70TaowZHtqC%2B6f5QKU1yRih9tkQpHB4N0L8hrU%2FsVRipV%2F%2Bio%2F9W2tiXh6WF9zsRcq4BtmrZ2sZ2BgPRweRZnm9yNBdDlmPvT16vEqfhsizir%2F6NQYwgm3wu%2FKVi8HEIi%2BQcOxHeH5g7okPULJJqbpVBBvM4ZS7QRhdHo6KKW2bpkCC%2FRWBWvzTs0BZ2vxGyMqbkgvK5BQwfrN4n1s6KMzzRkwCIbqGedzNjT36VZz9xqExqX6YukQIUTb0EZx8C7tnvAvMik7HNNGzGyvzj%2FaPtoOy5MrWucW1aumututMkDFsWJ6uWLkhA8qNPiEIVuGk3BUorDVHilZkfLWJnxpF5fzuRVwhZS1zbMY4f8TLdQc7q4I2HtuJSKPKhfbh8TF%2FwIXZ8EkPtIT8tIGXcTtMXbmToZjXeilRXhf%2FBQ19TpAgCLtdpUDMihQHn6AVm8tiubd3c8%2FXDmzrMb9zWcBEv2ovAPgDpzuKV7tXEBTtvhIyVVpPt4uqprWLoXdpFGp7TvQJVT9Ug6QQkaJ23w9vXBA6hDnySQdfgtRZy0qYsJx59qgrsIEs0Aq8le2qmswXSbW5tiK2LHy9ZWukiraqIog8o7CIYBx1WvU5qPJ9icDjiKSaoDq8tbOoqvCk%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB50109613&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=9&type=pad&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5398661778&sid=search
Smart Tv 32'' Lg Hd 32lr600bpsa Processador 5 Ger6 Alexa Web,979.92,,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-web/up/MLBU3241389748#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5435498432&sid=search
