Titulo,Preço,Loja,Vendedor,qtd_vendida,link
Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos,896.91,Vikings,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-webos/p/MLB37929806#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=e37b46f2-b0cb-4fc8-8256-458e65f27d06&wid=MLB4020487085&sid=search
Smart Tv Lg Led 32  32lr600b Hdr Ai Thinq Led Hd 100v/240v,893.09,Vikings,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-led-32--32lr600b-hdr-ai-thinq-led-hd-100v240v/up/MLBU2095162866#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=e37b46f2-b0cb-4fc8-8256-458e65f27d06&wid=MLB3871815089&sid=search
Smart Tv Lg 32  Led Thinq Ai Hrd10 Webos 32lr600 2024,1007.25,2Eletro,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-32--led-thinq-ai-hrd10-webos-32lr600-2024/up/MLBU771924572#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=e37b46f2-b0cb-4fc8-8256-458e65f27d06&wid=MLB3758156039&sid=search
Smart Tv Lg 32 Led Hd 32lr600b Thinq Ai Wifi Bluetooth,1069.99,Loi Brasil,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-32-led-hd-32lr600b-thinq-ai-wifi-bluetooth/up/MLBU875178937#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=e37b46f2-b0cb-4fc8-8256-458e65f27d06&wid=MLB5044353728&sid=search
Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa Web,1019.32,,Não informado,Não informado,https://produto.mercadolivre.com.br/MLB-5736332782-smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-web-_JM#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=e37b46f2-b0cb-4fc8-8256-458e65f27d06&wid=MLB5736332782&sid=search
Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa,944.37,,Não informado,Não informado,https://produto.mercadolivre.com.br/MLB-5742663146-smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-_JM#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=e37b46f2-b0cb-4fc8-8256-458e65f27d06&wid=MLB5742663146&sid=search
Smart TV Weyon 32WDSNMX 32'' HD LED,794.3,,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=zSGrix6tjGRSJLBIi68Uqbgk9wSep2G4%2BK05DIar3npc6yLXIOXS%2BIw3mIzpoGGgRApz8Xxzz4Kdf2QX4g3pJYrmNrodMIze6wdUUQSkxUVZrqXoODfgG21IoYsJynLwnJFxNyzwB4Gt%2BwoGSpIYSouldZv%2FZ5RyPG6cnQqaXe0suScJ9OYqNeknB6Pgm3J8Z6hjTKpIA1WnrL66T6%2FcbYxTf9yzif03ORuauHKZvGiFRjHo09q7ArQ77BVAswUzZIc%2B5vdihwxTtQ8I5dPANFRSq09rJ0BygJwR1PCWGhdKFcRpIjCYxM3Iv2ZrlfgiDHpnHXN9Fk3UFn%2BH0KsoR9ZAUNt51XjCvBLUobcZgh9j87Du39%2FBekNBsXPH33khBoX6WLjffRTNNQh2u%2FbhT2K9G2yQ%2BImexP76u3DlpxOTx6nqKGKTnqWtkNDmctmcPFAclytODrBUuFZxCYqKFujnvJd6LPv6AL608tL%2Bg090UJlqvL0dRZLsl6g99Qd3KcE2KZcNY6ni3%2FtiLXQsL0R0F0eRgq17eckjfobtwdQUONkE5JzXH9mDdCKxEeHRuOmF5Tdff1Gn9QJaFYGDd8n%2FGFikYbYgJEZt2%2BhPJLXLDapCuafZAecQXR9VfXePeB0BEpFwrHtQc20X2YWV%2FoqvCs%2FgMHCKEqByctkevUmDifXO4uEpyR7fEYeB7bPLp3RWVU9TPTUSrPB1QLkLiMLlr9wMslqeIv2Fh1Hk5pP7c7qtFCrWRhAueIviM1Hl%2FOjs9u%2BePidxG9BTtbJaikrCVWWadCuJ1hyD%2FQnOmNmxwXgnmJFD7HQ%2FzLTPRD7SdOAK9Mw3qxDdngUNwHMlY2G1CGOJAtP%2BPy1yS%2F3ZHXqRgYB1mWPeR0hgttVsXcbZ00MuOPp7%2Fql4qck6y%2FnUSYrQyOBHMfOhxl7mpo67G2QH9F79OqQCqWgKiW6G22zqcWVX5TZNvGo%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB23537280&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=7&type=pad&tracking_id=e37b46f2-b0cb-4fc8-8256-458e65f27d06&wid=MLB5745750570&sid=search
Smart Tv 55pug7408/78 55'' 4k Uhd Led Google Tv Philips,2319,NegociuN,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=K%2FRHtUOfQnY9BWL8ho%2B1nzrL1iMD1L55ALp07eGkjGOhEM1YrIQREUOZj2opyM0ik002tbaZ2pHqiyI5o40C%2Bg5oTXueVIdVE31sL5to5XH3lyPkd2LcMwJL0ei9mUlIwaRKfOIfP3QDw3jg9cDQ2SBsE3BrjSBvydbumoSOOl6IZOmNHTCEeUSFWeSZnLpkxF1jutSQaTBYsD9sCIYIw1xOz%2F9XHxI6F2%2FUuAJYTDcJIN1YtX9Q%2BXt0w8DYFUDsoLZvtH3miWwh5ivToSitEMe7RoyYIskSfDfhmUKhhBe5LX2MJWdceFVaQWog4MVYdJ5X4mSTFZmqVG6IvGyShqXh2plSiiTpC8PJd6rxXZEBM2bzsKKGlpa4OIs4PhtCReQ7wjNtdnDgryr13FT9h3%2FZrMXXjDpG8Tb3pdR6OHPp9pW6FJX51hfEU%2B%2Bg4u8EhOjGlJIXqEY4HUPugm8gK4aBwzCBA8g1zJjhIzsRjEmc4vW91TFDtiLdpRVXvxmGwbv7ZzZPC8oydH6xCKrlkOymO1YFpUWGmLrVC7kG5uQfs8sCOITT9uQhsZ6Y2%2FFyEgytftDVlWe%2Ft2UZa3lYo08vneDmQQq9alPalmeUsF5hHLI38q9mgKnz5nji6m16zuH658NvE3iSc%2FJOPtoK1unEAQb2xXEaTS%2BZBspf6jootmHtoGMwfR9D5sVayZq%2BGVYsq%2F6Kiv33M08onpmHfs1jpAB9lqclRcnbFpwnjOFqQiqKLXwZH5z7SRfYlW22ZbMv4HPti%2FXPkGNn5udSfmwwmmQXWLz8mLU0xoe3Xa9wXEtLSFox1KjvBKnpNad7boxyjhD8pR%2FU5bgmLjrKq59Re1cZpUPVnsECNwbs%2Bd76T4UbknNbzIpqLXoDr3ukKgz9Fm2N7ZujMbOTFxvVQuKDqdNvobyDOlDI0Qo26zDaIhDYQpuy8L0TM2zPTBMX8EJ%2FauvOfMHepMDCH1HzySjyGK0JOHID#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB27166998&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=8&type=pad&tracking_id=e37b46f2-b0cb-4fc8-8256-458e65f27d06&wid=MLB4144620721&sid=search
Smart TV TCL 75 Polegadas QLED 4K P7K WiFi Bluetooth Google TV HDR10+ Dolby Atmos Dolby Vision 75P7K,4599,TCL,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=lynlFAe2SsTMEqIIfvk9bhY%2Bm%2B2FIusH4JhbiGeDSw4WRIlfu9UObcia8k7BdUR8iOG67iW2qwZ3Jvsk6QgoeEAFzoxrOgG5GWX5P1uNxOLiSy0w6F56aAtwOy1foGePI%2FTrAcNpiqlLfAJaO0%2Bfu13qnQcapcIcDRkZqWMfppfjChzfokY7jVn1VQ6DEcWJxUkndn2AVV8uLlxZWPsASidfGMcOJoBmuk90yOV7dz1BeX5lfchU5zd%2Fz%2FZJPFZ9vkJ2pzwp1b%2Fo525kriwcbewZqBRvU%2BSpEtq88Gg6oE2VO5m5iUcWmxvU3Bhu687feVQduqw6F3AjAaNlobgybOV9gL%2Bjr6oJDMa1NXYtMlxpwsIRta30eePiG5lML%2Bj3Sp%2FZEwe7otFZh7TPVy7mOjz%2BqwQRVEZ5SSzxgvPlKK5yUUhhr%2FK92QVM1%2BTlC8onPwyWIFwQ1ntiSkYI7xq7itKmUO6XUisVG9pDA95gv92ZnQMbgNn4Zhj5ZcW7r4gVxf4GQZDTiZlD%2Bmq0Jnmut%2B97cS1z8yzOfmnO9b60t76IrWxzIldVbk3i7%2F%2F1NVSxbPn92LmWSJL29i5P1V%2BpMtwWiKasYy1PDneQ9iJkm35zlRad%2Bohh3fCv%2F1jpf9F5uDcu9XZPzVcu7zSdeKILQJeBX56fJzWA%2B5Ah5S1t5epxgQf7v8LJX2VTIqKGmpXqNCjFNWJvoH8q0QhS7ZO098Um5UIcc5TnIC2%2BklIT6WnflSo6VRdn02MHJSQ57dA7gKixoa%2BYJOo5giN6VZcHb0DodKGDPSOI5Ut77dxUymNUBDVAi5Op65ZO9bTyCTimqA%2BA6YjIVNbIunQMym5wWTAzRkDNKJJ49%2FFYI4Lu645mp%2Bz7oBNb03xdowZdfA93kOI5AGAHZ3TGz7WcOuIWVbb4%2B7EqK58J6wx8P8OgUm5I4Oc6qFcsODPxfGIaEDlYFYreGvR97rwpAGqbBq6FUonAlgsNOBTXzEmNu1jKKuKQBjPTYCcqoLCOjs8HVG5MM45n%2FLsHGSzFBJaPek9vzAN3mW%2BTn17FX3r2#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB50109613&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=9&type=pad&tracking_id=e37b46f2-b0cb-4fc8-8256-458e65f27d06&wid=MLB5398661778&sid=search
Smart Tv 32'' Lg Hd 32lr600bpsa Processador 5 Ger6 Alexa Web,979.92,,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-web/up/MLBU3241389748#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=e37b46f2-b0cb-4fc8-8256-458e65f27d06&wid=MLB5435498432&sid=search
