Titulo,Preço,Loja,qtd_vendida,link,Oficial
Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos,896.91,Vikings,Novo  |  +50mil vendidos,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-webos/p/MLB37929806#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB4020487085&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv Lg Led 32  32lr600b Hdr Ai Thinq Led Hd 100v/240v,893.09,Vikings,Novo  |  +1000 vendidos,https://www.mercadolivre.com.br/smart-tv-lg-led-32--32lr600b-hdr-ai-thinq-led-hd-100v240v/up/MLBU2095162866#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB3871815089&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv Lg 32  Led Thinq Ai Hrd10 Webos 32lr600 2024,1007.25,2Eletro,Novo  |  +1000 vendidos,https://www.mercadolivre.com.br/smart-tv-lg-32--led-thinq-ai-hrd10-webos-32lr600-2024/up/MLBU771924572#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB3758156039&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv Lg 32 Led Hd 32lr600b Thinq Ai Wifi Bluetooth,1069.99,Loi Brasil,Novo  |  +100 vendidos,https://www.mercadolivre.com.br/smart-tv-lg-32-led-hd-32lr600b-thinq-ai-wifi-bluetooth/up/MLBU875178937#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5044353728&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa Web,1019.32,,Novo  |  3 vendidos,https://produto.mercadolivre.com.br/MLB-5736332782-smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-web-_JM#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5736332782&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa,944.37,,Novo  |  +5 vendidos,https://produto.mercadolivre.com.br/MLB-5742663146-smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-_JM#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5742663146&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv LG 32'' Hd Led Hdr Pro Thinq Ai Alexa 32rl601,941.8,Eshop,Novo  |  +500 vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=xhC0DTYYT%2FtOs1Pa1x%2F48D1HDFld2Wuj6M7k1XHrRu%2FMbhyz8xWeUzzFNV9q6OqpfNzB5z9OQ47ziYnzq6mGScu%2B7wFMItx9juULZSGgo7ZoFThUuGRb43FsSWXBZCgnNrZcHck%2BczNMFlfs%2B0W0Kx77hHeu3MSkONI7GA2cbtb25Ls4%2Fuckq0TFj8%2BrJFhtlrc%2FKzfA3kzy5je513chPr7iR5SOI%2FuY7ekupE%2FD%2FKAmLKgH9yO2fJxM%2BnY0qAgZqnKkbGjmCExa2d7qVsksRYOo8aSAnUN1ZUa4GFdRuDz%2FZceMSmYFTugPN%2B2kfpd7ScCJ5W5lEfY6O5c%2B65p%2Fgeqc7yXLVvMZQujCtkla1luaqJCJeuj%2FmDmTaHr1vUiOD%2BsYo6Dj715sZKZU%2BF9wZktzBY9Nfw6iIAo6XstWp5GtloecDdF6t%2FxbvO%2BBsc5UzvPQXplGORd2A0x74IPHwcaH9UJkLeFsxlPTuDMwGGPit8pCJe933jJb27MHdioaXvxULitzi7gDkPxScBRWmCjKqPqjSOvH6J1IT%2FHnymSYQoTHBwI5XkdVhDSk2EUsArn33%2FxhImzM4GiNeS5fiDXPGCTqPbf1WvpVVQTOp2%2BN7z6VKAquWHzB9cQg5Zz19Q42bXT9m6alk98FwFsIk7qVZd%2Byd6ysLExaKBbgTVdd7liS9AjhwsBR4pzop%2FuLmrh%2FYl7%2FA4WcAZkdvVz%2BM5YoF%2B1qt9xcsIGg2o%2FA7AhtthG7p69FzDs6rkr5btv5wBUML666WUipMniEdvecXlbjnq9J7i882%2Fyk3cw5W39W0SdPrSfEU8pufw3s2sB6n6SjJXq%2BGz1Uv0eZX5Rxw62ZHtCHpmHp2m5ZxlW5W9EiednO5lUR2f3raKhzh6mhNVil7M5X4VoC5lLKV9nvzG65qlI%2FvMZpj2uSTsOKudVsFprAqsC2b0hUkSgeKD2m8BUC9EY1%2FxA1doQ0EKBJ5TOMUb4CDLXcu1eg#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB55927567&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=7&type=pad&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB4203820517&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv LG 55'' 4k Ultra Hd Webos 25 Ai Magic 55ua7500,2099,Eshop,Novo  |  +500 vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=A2ndQ51CBvff0sD0UdjZ1ZcyBep0i6UNh%2BfpgpkeyBW0C8KZaQSKIT0VCDfVdGELViwzPc2bQywNEr%2F3BdL4j7PoXAGMMxdOASI1iG2YWY4%2BAmQHRypByJ6a%2FBeeNu4DZ%2F0r%2BcmRQAyOmJBtiuflav3hmUQ%2BtOQ%2Bi8SJgBtukxhVVE1Pf%2B421ItXi6YiVp1laQGoIuu8CugHbkyyforbCts3JI3GNZvwcCpNyuq%2FyEo9jVgKXu6kvGpWZBhEMaS89CZ4o0zSXY%2F6f4%2BVM60RBHl5mTpTR3WUSIevW3CEoYH1GcDUpJvXe2GpPXnyJOTHSYHNzzFGLemyeM0njYwH4tbHBnfdTpImklTHWZwfUL4jr7OEb0pz%2Bn8SmcBBNQktCHMs%2FNp%2BU6%2B7Y2AAAE8RAQzk4KHPctiHvmk4cmS9q1uoQgcoydVugqM8ftbXYf2oB14sSssEQ3CbAqtU6EAZ4%2BsDGnFNqYOyjW3MuDLWv8xALrziJ5BNny7rj3x6UFdPvqDhgbeOv%2F0zR8FFZipz2s%2BVSNsOYCQpQOYwmONsX5%2BlbxyXFTeVE8NMzotCnKveQNFRDspTEgrMBMaKlUkpDTd1%2BzJEecHBLxGNI0vKBvr9FxOcBXCvVjB%2Bm6O6KK02YggivS58FMgeHb4Rne5fJGCbgNfuox9rvyDL6oTBaDasHVZK7gcfCxBczyQ6quTNcgvrBiXzVrSELcOZIgsItWQcjjIlj1mGjYs7TtOEEaZ2T%2FWvWxQGfwiJLzkF81FE%2BqYD%2BJ1k87iY6sYSw7MZrh2uclBdOQ47jD3bvn%2BphXp7f4uQjap3d22HjO8ZCsTtJWxhDYcsVyoebxrgSew7DBhC5x61vsGia8AuXhYmfHk%2BZbyjenmiPLLpYvMH1AqbeDwzKYqkeZBqXp8%2F%2BBpdOeh5fujkv6dput1Nbdr6Ba6%2Fgc0qx%2BaVKaTQcm2it6J6lq3w685MFaHylN%2By9N0MaTViyoIHLYoGlNkM#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB53388479&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=8&type=pad&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5770099520&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart TV Weyon 32WDSNMX 32'' HD LED,794.3,,Novo  |  +5mil vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=iPKk7KVjCyJ8inoiKRHJfYuIbX2imbGO8PXzcipI9kksSETv47DNKOC7NE4dj%2BHimZDFsgjCcTVGuAUZaYIWOSuSyWtWjoGypMIJIm0wreZDMewA4bKW89VR6LCGuoIOcR9A55RPWhXW4uLaJ2MVD%2FNqSEY0Wtn9AZ8nykRN4SsiYy46R20SvrrkK2F%2FoHkQbF%2F%2BwLRXW9K4DpNuq6H3X9Ruv8K0uZ6Oc%2BgrmyBWMuAOT8VKJeTuLThzgTv5AeAjL53qAuGE4Pu46Oqy49%2FYk6I4a%2F5pSVWLrqJGdzOy5%2FcGUrCCVBl1Q3RQtczwD8syZHM7rMzT4DCiUCFVtZhIsM%2FpdxElJ19Dg1QZwYsdvyQIH%2BDF1x0NYRMogt9wYiphYuO9R1b2FFxV0zosoNF7ugVLwmH68nomm9pV0D5vsO5PEdgsgvpgESDpCbIZuJnF5PlAkPmcsNZGcow8AQY8gakuupPa8BGn5RcLfDMjEnVNqToZv1q05zOhsR%2BNjZR06Lcxm2uiL3x2jlcDPFEZIer1m8rCriSiqEZal7Z6G2pfEtq19TEMYFoXm%2B3FqTPG1XMNd0ybXWJEc0Og3X%2BsMhzSxlnSlBCV%2F05pfHyS6GPGRjNe%2F5MxmJqPHmyTmhi9l0ZIB9BpVveHfeJMMFoJbz4paxRGrK6Qs3U5Wsl1uHTLWcjrfHclLuaea4llDHsqEvCmz1dCgkbId%2BabB2H6MgJGyZw9hpGyqx8cB5V2kfvIxh7AQEk3kRBQUD02GIJFfhtH404%2BvzKkL00B1z4Xs8cdrHI7TPsz%2FNH%2FTOPmDuN9D3R%2FfRhmxOZ3tHsi3L4acuoKrb3jCKX%2FsWScPPZq8z5dELO5ETtBzZ8Ib%2FPZF2dF1DeWMdATi%2BXe38CfoUcgs1ZYO%2BIu4e9lSOg%2FkR4AD45SVNImvOyK01wVLOm%2F4IxnM3%2Fd8fy%2BJL8UW4AslD22PtBnuUul2FY%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB23537280&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=9&type=pad&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5745750570&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv 32'' Lg Led 32lr600bpsa Hdmi/usb Preto,1072.03,,Novo,https://www.mercadolivre.com.br/smart-tv-32-lg-led-32lr600bpsa-hdmiusb-preto/up/MLBU3098963051#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5337755918&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
