concorrente,Preço,Loja,qtd_vendida,link,principal,compatibilidade
Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,R$ 2384.90,Comprebel (Oficial),Oficial,https://www.mercadolivre.com.br/smart-tv-lg-50-4k-uhd-hdr-thinq-ai-pro-wi-fi-bluetooth-alexa-apple-airplay-50tu801c0sa/p/MLB52058084?pdp_filters=official_store%3A1614,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,SIM
Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,1859.8,,Novo  |  +10mil vendidos,https://www.mercadolivre.com.br/smart-tv-lg-50-4k-uhd-hdr-thinq-ai-pro-wi-fi-bluetooth-alexa-apple-airplay-50tu801c0sa/p/MLB52058084#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB4186021237&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,SIM
"Smart TV 4K 50"" LG UHD 50UA75 Processador α7 AI Ger8 4K Super Upscaling Google Cast Alexa Integrado Controle Remoto Padrão WebOS 25",1834.16,,Novo  |  +1000 vendidos,https://www.mercadolivre.com.br/smart-tv-4k-50-lg-uhd-50ua75-processador-7-ai-ger8-4k-super-upscaling-google-cast-alexa-integrado-controle-remoto-padro-webos-25/p/MLB53201474#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB5547463722&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
Smart Tv LG Led 55 55ut801c0sa 4k Ultra Hd Thinq Ai Webos 24,2079.44,,Novo  |  +10mil vendidos,https://www.mercadolivre.com.br/smart-tv-lg-led-55-55ut801c0sa-4k-ultra-hd-thinq-ai-webos-24/p/MLB44672028#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB3966901001&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
"Smart TV 4K 50"" LG UHD 50UA85 Processador α7 AI Ger8 4K Super Upscaling Google Cast Alexa Integrado Controle AI Smart Magic WebOS 25",1877.8,,Novo  |  +1000 vendidos,https://www.mercadolivre.com.br/smart-tv-4k-50-lg-uhd-50ua85-processador-7-ai-ger8-4k-super-upscaling-google-cast-alexa-integrado-controle-ai-smart-magic-webos-25/p/MLB51381761#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB5474190160&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
"Smart TV LED 43"" Ultra HD 4K LG 43UR781C0SA.BWZ Preto ThinQ AI 3 HDMI 2 USB Wi-Fi Bluetooth HDR10",1699,,Novo  |  +50mil vendidos,https://www.mercadolivre.com.br/smart-tv-led-43-ultra-hd-4k-lg-43ur781c0sabwz-preto-thinq-ai-3-hdmi-2-usb-wi-fi-bluetooth-hdr10/p/MLB25800955#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB5343939420&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
"Smart TV Profissional 4K 50"" LG UHD 50AU801 Processador α7 AI Ger8 Super Upscaling Google Cast Alexa Integrado Controle AI Smart Magic WebOS 25",1895.73,,Novo  |  +25 vendidos,https://www.mercadolivre.com.br/smart-tv-profissional-4k-50-lg-uhd-50au801-processador-7-ai-ger8-super-upscaling-google-cast-alexa-integrado-controle-ai-smart-magic-webos-25/p/MLB61517857#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB5889143382&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,SIM
"Smart TV 4K 50"" LG QNED 50QNED82 Processador α7 AI Ger8 Ultra Slim Design Dolby Atmos Alexa Integrado WebOS 25",2881.14,,Novo  |  +100 vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=7Ioj7EtgdaXlnCSPxzB7%2FrpQaIKTcqWuCIq73sfv25vwB69u1TeHARlWa6lRZhhbGLF9YrZkF1cHNcfhAA%2FgW%2Fjt0ofgR1pWC3ACTp6rzbcqhg2iKKxeXq9JOJyzVCUB6B9DHlPY%2FS4K1l9qfGTP8KgRQ16O%2FD%2FOohaqk%2BkCkZLz79PjkBOhUUrZDup%2FGfUT1sQMbOmapP1Q7L8UAgW6V3b9qJa%2F%2BC7p9XfBr3zoz1KptULIbiQH1HZqZhdQz7M4KLCnusz9yZdlpx6KR%2FOKc0A5uRVPD3JEOzsCcSX04tsoExb4mOKDYRrwthLqqhW3Rc8h74vb6A3MRhzzHAw2qs2ngamWYDNkOS5sIy2boJHqAjcPbFWzNIBDTJpft50Sr71AUoTtFZWOU%2BE45iz28fFBUqGUaBHM8vz514ZmLFk2cpXnPRYp8LeTrWMR4X6r3pXsC74GhvLwRccS%2BlznJLddEYEmRoGeBKUt6P%2BKlCcJEPOrJt4zmRSGy1BgR6%2F54jD06U7Qe87H4tKb%2FxrsOxkB872AdjvmXOPrhomjM%2BpeyRu%2FTjk2WpTAlb01sjQYJ%2F1JqYYPh27zw7LtYuyyKzAtZESBmwqh1zXeri21IcrXiOk%2FUr27kxg6Ae%2B8DTkJQ26A1DboYnM%2FvAPK8xB61GQPh24C0sdeAE9KtBeXECRTXf1kCEXTTV75FrO2GZBTHc%2FAIbQPmkli05ToYc7v8UPDYw%2B9n7atMKhNWLKuu18W0rTAy7S%2Bnn5s%2FK677LsBpaxDt4OvX%2Bn0FQRxeZozswkueJKR6vAm7JagiiuqE3%2FVjr8t%2BYlis0DZtbLO0ap%2B1AHAsDu6vsv74kiszJXNHoiNqHxzm0NYFg6K9JS5HCRv8rh5yMsqGHbBZfkGua%2Fe1OFX7PK4Iu6Pb5lZg95o8TGLvyvFbyv8hDiWAqF967e9ZYPkl0Y0W3arIYP8L36ngDXBNXmtaj%2BUULWX8LYzQ5fnhuUWEVB0iFD0eTDjmatr6TX%2BLH5Me9gY1sbvn2WnN0sEuQ5Tab9CKXK8hqX1C6xkDZEZIQp9L0X%2BLw%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB53712521&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=7&type=pad&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB4157368403&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
"Samsung Vision AI TV 65"" NEO QLED Ultra 4K QN70F 2025, Mini LED, Processador com AI, Controle por Gestos, Modo AI, Painel até 144hz",5735.79,,Novo  |  +50 vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=aBOlOYUIFf1nc2bgqHy%2F%2BI6X1467lyb8z8F3IFzkPS75DBhNkhIclJGOS5MJo45MWECVnvd2c57SdgFzsy%2BqfYw2u9u5Wha9RFIAFT24mz2yLHCn%2FM4MOxj1iUoxH7PWKX2WSRIOzARHEROiMmJpb6ShDX0Zm29EnFLCF90Pvz%2BinkL3bo%2BKrepOvIR7zotlNvZVOr83ebmzr%2Bv9tpumOiVu5gef1YlQZwmFF132dWHYhR1pID%2FxjFbacqJ%2BxgqZDlZcGr0mUUH6ObmkIkcXl1BIfoyU6Mv9vfA3iZ01ziNv2%2FMYHkONVVI2Zea6clDYZpGqyV8vuwIUjyAKYc7uAFMILtFb1aqqKDY0IDCuE%2BzRRtNJR%2BjZtzaGr9V0lknnPx%2Basvj0L1zAV2%2FRhZeiJ%2BboaehU9%2Fr0%2F7%2BOGMOX0qFsjJK%2BSrFasKENCfto8J%2BI%2FIKUjxAjTPmCn%2B%2BtSdCLpHPW8g6ds8HNfxjW4QhzubNlOVhNSq05X%2Fr3OmqTVSPJ2DNtiwLTQFspc2qyAtRcmF1WpmyuGpqCkSbrt3uC1mMdIo%2BKTA7uNVm0kvzmnb0NXIrqIbpm73dQ5qCCXXM1NiaL3W%2BLDEhW2JDimNcccVFTPSD0HuQvAEvTDxPrb%2Fe7vvHDrATem9I4kT%2B4AZmVRMB%2FWcK8ZfGAL5ew0UdqjqbZifLBmyOmCK37OtfVvSn9RZ8DCoHxUzpHERggr3Sb%2Bcnpq6SnYXQCGdLjnOuepYJ7cS3Bbka%2BBUb3LwhA%2BaEBoPbghWEvL6AC0MlTOf%2BeSuaFbMCpIQ2fh1sRVe70EGEP49gqhPrbjaABGLLnJAr6oS4ZhMeo2mV09vcFii5beoPnvqeUh5xJK6gp4oDUxnCIF%2BknR3W2e7WxZESuEMNRbj17D8F3f%2FBuk5iSc5TIrwm%2FG%2BQWeV1B%2FTJVHd%2F4u23VEqwLy8Bb%2B4Gl3V9Dta1Gq9mCkdmKQC9vpB0erIzgqxPJHBj54ddYTeYFceHx%2B%2FtAwYp8L3M47zqtu1LW2NrdoxPbxLroR%2FdiVRRWosh1twViIe%2FE7BEqdBDS48zZKvHTY8jxdP83Ei96Bhr6#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB54054093&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=8&type=pad&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB5886833650&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
Smart TV TCL 43 Polegadas Full HD QLED S5K WiFi Bluetooth Google TV 2 HDMI HDR10 Dolby Audio 43S5K,1376.55,,Novo  |  +500 vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=pwbkpvO%2Bk45XoXOIIt%2BdwEUZQZnb2xpt48djT5zwsekAiW2PEnmtAEbOxOddhPhfyQchPLOfzQSlENp8NtU14XIUcyo10aaZHXu5iA0XV3ywAqnih9KiHyfKcZvMCfN2KwRiCOCrH6b8YxpXIkgTA5xHaQhVHH%2BKBnAoqJDAsimyVJFKrcuFxXrF1fvp33C%2FvyRmsxgWrUx1tfAb84Jbe1AsZFfVNNqovd5%2B3AvOf2QyJSB8rmSolQ4QtmswFsuNNSfCmVVkp48BUCCcfmIea1rjVW6DTi9Th3L17ZG252%2F2mJIF1NRMrcpj2h%2FsvKNQgR6%2FKghMuehrBcpQYT%2F8TOiv5y14Wy%2BqlEh%2FWlgKJ8is%2BPzetujCfd3PZehgiz%2B1k5nYue9JFNSz4gET%2FsdfhgQh%2BcLD%2F1I7GNKCahGTHK1A2uHczr2uAMZk%2FnJC122W%2FutTttTuKaBUdowqKMnkpD17Ip8bf%2By8FVXPS50PoViS%2BQA5lgURVcwaNA4CTsU%2Bbn7CXPVNUovU7LhCDGnsHcTaTmAidfQRyBcFBD9AifkQkiIDZ5IG1VaZGXOS8c3LBuFZBvhjZ7t0FCyCNhYbt8F2nKtZExg7E8E1PHgrT5CtTdHY3WNWrLeF15mAXElx5u%2Bbf6GWVKHjjwLniDLFYir1WfxoxsLD1LR5a1YkGY38KnKolbaii9Gsmk9w8eIozDTX2e6iWHdFu3Sghs9APxGVjr4ub6p%2FSW93rQApR15UG4%2Bw4ROufCvjPVymfCAC%2B2hGGtizy%2Fb2ZUJcZX5eb%2BVuHXy%2FgB1sJwZp3WBi74D3RyCN7Ns2JIZgp72XybOvNZCkR%2Bh2RkAuQ5SSUKTSNNQ%2ByDoAobSpCqHRJvBTZRHtxgn23GHJBFVhx68fA3e%2Bheu1yn3pcQ9z4TFCLaLxI%2FpTk%2Bp7zLOv5wi57ih739diAs4jOuFho9DphDD4D7KmKYBm7rgmnwC%2FtvY8saZ6mAHRqzY56XWnNVYU4Yi8iyQnx6vxdZPB9BLVG2wUtpQ3qjOidlZKgHqPzkjqXe5a%2Fw%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB49197748&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=9&type=pad&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB5690651572&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
"Smart TV de 50"" LG UT801C 50UT801C0SA com tela LED 4K 127/220V - preto",1917.52,,Novo  |  +10mil vendidos,https://www.mercadolivre.com.br/smart-tv-de-50-lg-ut801c-50ut801c0sa-com-tela-led-4k-127220v-preto/p/MLB45672004#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB3968846129&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,SIM
"Smart TV LG 50"" 4K UHD LED Alexa, ThinQ AI, HDR10, WebOS 24 Controle Smart Magic- 50UT8050",2224.04,,Novo  |  +10mil vendidos,https://www.mercadolivre.com.br/smart-tv-lg-50-4k-uhd-led-alexa-thinq-ai-hdr10-webos-24-controle-smart-magic-50ut8050/p/MLB39457123#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=3d2649de-c3ae-4c5c-8643-9fefddd0e4d2&wid=MLB3845180283&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,SIM
