ranking,concorrente,Preço,preço_oficial,preço_indicado,Loja,qtd_vendida,link,principal,compatibilidade
1.0,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,"R$
1.777
,
89","R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Comprebel (Oficial),Oficial,https://www.mercadolivre.com.br/smart-tv-lg-50-4k-uhd-hdr-thinq-ai-pro-wi-fi-bluetooth-alexa-apple-airplay-50tu801c0sa/p/MLB52058084?pdp_filters=official_store%3A1614,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,SIM
3.0,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,1789.25,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Eshop,Novo  |  +10mil vendidos,https://www.mercadolivre.com.br/smart-tv-lg-50-4k-uhd-hdr-thinq-ai-pro-wi-fi-bluetooth-alexa-apple-airplay-50tu801c0sa/p/MLB52058084#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4186021237&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,SIM
N/A,"Smart TV 4K 50"" LG UHD 50UA85 Processador α7 AI Ger8 4K Super Upscaling Google Cast Alexa Integrado Controle AI Smart Magic WebOS 25",1799.01,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Vikings,Novo  |  +1000 vendidos,https://www.mercadolivre.com.br/smart-tv-4k-50-lg-uhd-50ua85-processador-7-ai-ger8-4k-super-upscaling-google-cast-alexa-integrado-controle-ai-smart-magic-webos-25/p/MLB51381761#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5751261338&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,"Smart TV 4K 50"" LG UHD 50UA75 Processador α7 AI Ger8 4K Super Upscaling Google Cast Alexa Integrado Controle Remoto Padrão WebOS 25",1799.01,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Vikings,Novo  |  +1000 vendidos,https://www.mercadolivre.com.br/smart-tv-4k-50-lg-uhd-50ua75-processador-7-ai-ger8-4k-super-upscaling-google-cast-alexa-integrado-controle-remoto-padro-webos-25/p/MLB53201474#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5879784836&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv LG Led 55 55ut801c0sa 4k Ultra Hd Thinq Ai Webos 24,2249,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",NegociuN,Novo  |  +10mil vendidos,https://www.mercadolivre.com.br/smart-tv-lg-led-55-55ut801c0sa-4k-ultra-hd-thinq-ai-webos-24/p/MLB44672028#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5392170960&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv 4k 50 LG Uhd 50ut8000 Processador 5 Ger7 Ai Alexa/chromecast Integrado Otimizador De Jogos Webos 24 Com Controle Remoto Padrão,1860.65,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Vikings,Novo  |  +1000 vendidos,https://www.mercadolivre.com.br/smart-tv-4k-50-lg-uhd-50ut8000-processador-5-ger7-ai-alexachromecast-integrado-otimizador-de-jogos-webos-24-com-controle-remoto-padro/p/MLB47854356#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4143550845&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,"Smart TV Profissional 4K 50"" LG UHD 50AU801 Processador α7 AI Ger8 Super Upscaling Google Cast Alexa Integrado Controle AI Smart Magic WebOS 25",1895.73,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Eshop,Novo  |  +100 vendidos,https://www.mercadolivre.com.br/smart-tv-profissional-4k-50-lg-uhd-50au801-processador-7-ai-ger8-super-upscaling-google-cast-alexa-integrado-controle-ai-smart-magic-webos-25/p/MLB61517857#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5889143382&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,"Smart TV LG 86"" 4k Ultra HD UT80 Processador A5 Ger7 AI, Alexa, Chromecast integrado, Otimizador de Jogos, webOS, Wi-Fi e USB - 86UT8050PSA",7939,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",,Novo  |  +100 vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=4x5syoTC4Jh580V9QlxssyK55T4RhdhbVs2AX7zmRCok2Hoz2CumL8PQGxg6hdHZ6Gibr23MeuSGsqScK17gPfIsKOAuNj9X5V9%2BKT3AJKesr%2F2YFebjugxmp2HaX4ybBtyM7TGbpCo%2BLw1l2hEtXyy0Lt09yHkgAZhN0He1CxBTuvRs8r1ewWrqRv1UKUKAIJhSsfXGVYc4Nc%2BsiVD4sckKmJjlornXypmTQE4gdVNGJYbLvWm6JLeSJ5JgPKlQDkJ0QHrhxMyZmL%2FDt1t4AEzYu27mzWw3imcCESLbHI2k7Z8qiQWoFvx4fzSM5nxD2oVnS56NrPZJ8dOQvwbQ6FaOZtimGGHUMfOT2J5eWpvPKSLR1fg3Rj0zLFnrptMCdSxKcquvpAFFlQ%2BE3uwIIUL9W1n5YWPpP665YNTs0MYdRpE1v5Hig%2BHgZnYVjcfeEcG7x4JGoOpJfCl8IUvj4ZbF8y9Kr5ONI30aM2x78RntTiF3PlRF%2BYYAOtjYqi4aH1B10A2VzwrDzrbwQmmNv4WJ3hzu2sesRLpxdafUxzTz6vwtWD%2B6kuRj5q%2F%2BpepjAnQHd%2BiOBzd3%2B%2FgcxHgsHOVkc3ZfUQB7VWUtZsivMwOaCWHqGaJ5I64%2FQlKo1Db4J5vZpYKRRUvM1Mf5sE6prSM9ZgTiQUOd%2BJGdSB2vmNr%2FGlqj2jmkNJ8r0TDVdVHsJr7%2BnTtE6e5oD1I%2FkYyssNP8ePKzlsVuuFWPdOX6oMThEAQqjJnD4nl5X5Xk6Lm3WN6Ed7Pb6fhVVABGeoDV4fqTDU4Il3H72r%2FacbF%2FVHSlOXyA3S4vauiGA5tLmhbtULoSnmbNZ%2BmDZAAO%2B6zo10b1fyiJDtWp3GpRhvE7dMh2%2BsfYEM9v4k7hTyj8lpGnRj6jzoXanvKFRLbHy2snfqK4mXz4IH0wPHGCUcaqke9nPXLMfe8RAQebXDXa3Gay5zFomfrvOQWhosW%2F5VshT%2BaCleXLKLzXm%2F6iXq0ZETFYBdEYm7UJFSRz1f%2F5slcAA6ZVapxRey901U3qtZt%2FdK%2BYlpvnd9yZ#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB39457066&backend_model=search-backend&search_layout=grid&position=7&type=pad&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4042160401&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,"Smart TV LG 65"" 4K Ultra HD UT80 Processador A5 Ger7 AI Alexa/Chromecast integrado com Entrada HDMI e USB - 65UT8050PSA",3699,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Webfones,Novo  |  +5mil vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=QMNZhSKWTYmdNiWPMxdw3FgGkklTScDtQ2gFglEJKq%2FakL67EMjXG4%2B9sosXzcmFNJNkEfVCY9eI%2BiFEgXI05F05oM78hvwkAcJI2JNKMHkMNoCv3Gof07NB%2B%2Fc7XdNV%2BEtjGuX97t3%2BJUATObDopcr093V%2BPXC8SxoMZSEwNdC1X0sDf4rotYAzeS0zPrAOMQcBzrZLDtcO%2BuhXmwei%2FHKP2WDV9Wn7UJhKifj5xEPi1feC2nHDTMCT8zgoGYmAt5x9E7QxEOywnUcBahCCIGmxerX3uqKXenk%2FwzwX40%2FXUqGp5jIGAizzaHMb02SZSyeUiqcN8ryXN7EPBRuVWuHb0UB96v%2FpDTgfD2Lc2la9UR8eLS%2BBRYyiXzfnce9iD7i9fIEpGD7Gu4gIch9HU3aYdY8CamCc%2BJIIFhP5fGGHusjt9Yom1YGqmaGkpbuqfpbVNZ2yvLAsFsDDD4ZspgkCAP6PjjBCvcsqR20dD8arU53RHM%2FBNjgQdzRa1y0f9mwBJKGzbhVxlmGsyyC1zFz1ipGzXEa5Y3xRY%2B01l0IxyD1QObjBoJK5nH2GeQ70IaME6gcPv7u8ws4l%2FEAmuJmNmoIQf662KtunSI66PNZY0YuqUDPRfHKfRgMhOGwhZkLwFigHMMiSbQSo6LrP5xsZT60M2wKU1XwBpa7P9MeJzE3%2F1lW9R75MLUjeIgg8cXVWWXyD9zmyXkLxG%2FbXk9hUVD6%2FH0Tf8vjaJUo6EH1zH9CE9XHgwpZYVVs5k5YVhdTXsHGL4nBNIHS3sHQVK1qMcPaUzJE2Z7UTZ0TTQM72IaUEfLG5QWuh7BakfIC0dg00p5reCofgjMFrpzRB1Zi2SyCE%2FZ28DajUeIPOReBuBIvXCdESnqUrUzowV9g5kwsSENEM%2FrR20s%2FPk%2BL35FbZu9wLHIJgyNYaEnawBd%2FxrMX3DY3wy3SmRGxI%2B6I8LbRNGGfjybMi10ovfso5MN18o%2Fw6jcrB%2FAyPSppR4RK1sNsndZKsGF7KzbvZJUZPdBtUHT4%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB39457851&backend_model=search-backend&search_layout=grid&position=8&type=pad&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB3967072493&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv LG Uhd 4k Ut80 55 Polegadas 55ut8000,2127.05,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",NegociuN,Novo  |  +100 vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=8gnzYaFMN5FtqaHAAthldmNd8%2F%2BBlNVYSZT6aGcTE8gfnK2UCmD%2B6XRVVxQ7e9gAuwzqPKFyVmpaIbmDle98VOQVJp0stnS%2FEYUq5HZE1YU7uiTUBYemlH4GpxkuRLqct9GEpeu8n7ldxXOi64ntaY%2F5fT8Y%2FVEqOH9uxJ5L1iCyaRXoJv8joyorFOqa5kou4GBxGaNyy9xhfImjBBX8V5eCN9vzagMduJU8Uv9Ub4Nd6ZYh8wzEIZZZe%2ByppYWLZuNSo5FQQ%2FRrIFHds7H4zfua9se5TC%2Bd4iltjih0BV%2Fx%2BAUe47moQZT9Wylj1x3t8JxSKdENY9e9GzJxv%2FJaQnRMMWV7%2FCDNTEO%2Fvmewf4RCdwinskwukJDhMwMmZ4WrDqoWaTPIb57FOV%2Fu52tnRu4jz6lelXy5wjStmDffe03gH1vNxfnMU2cDVbiKvU1laU%2Bl3DEPbW%2BPI%2F2f1QIme6YODYTZQRZZq%2BZelzxqikaQXeDzlL19DwmnE%2BTxSfFUuc%2BMz%2Fr43Iegd94ZTFy6DPeS7WHjJYkL1QTi09nIl%2FMXVYp5Q0Mw1Ju6AQg1Y%2B4c8EO7%2BtCiZHu1cMNW1hrBmmnHMHikdPQXnwMUx79AX%2BFZkkeHs%2FKUBSfhNjoPf%2FNfTIEfRQ5zs7yVYRSTTcue2AMVBHwYnSKAdhtXZwAdO2f0XKrbUgMeWiaqADCgJWFySoc27EzntxmGICGS7MgRyosa6WgtsG4JS1Lj%2FBD0Hk11wsAmRMnkKsRAeHBDUR5vbtUOjeBY0QO61kqxAj1R%2BPsQBo4qPAbLEHwcsMn%2BKTqBC%2BGFM8Ktv1IOCFH8WXwffp830NBrJuO%2BIJIubj1nZg1BDTX%2Bm6RqsbThBUxCHOEhu7o6cxcVGebgtM9GxhaQv4Te1ifMRIQQszdoRhE%2FtSDN%2F4hGWsVU49K7MzvFDDu8#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB45993583&backend_model=search-backend&search_layout=grid&position=9&type=pad&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4020551147&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
